# f_im, avg_infect_rate
0.000000000000000000e+00,2.559551999999999938e-01
5.000000000000000278e-02,2.267091999999999996e-01
1.000000000000000056e-01,1.854627999999999832e-01
1.500000000000000222e-01,1.531268000000000074e-01
2.000000000000000111e-01,1.102112000000000092e-01
2.500000000000000000e-01,1.027480000000000060e-02
3.000000000000000444e-01,5.655199999999999984e-03
3.500000000000000333e-01,7.320000000000000389e-05
4.000000000000000222e-01,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00
6.000000000000000888e-01,0.000000000000000000e+00
6.500000000000000222e-01,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00
8.500000000000000888e-01,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00
9.500000000000000666e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
