`# time, f
1.260630315157578707e+03,-1.891397284094905040e-01
1.280640320160080137e+03,-1.891976543706110070e-01
1.300650325162581339e+03,-1.892586314689222171e-01
1.320660330165082541e+03,-1.893235192138324197e-01
1.340670335167583971e+03,-1.893930861733305882e-01
1.360680340170084946e+03,-1.894682170131199994e-01
1.380690345172586376e+03,-1.895499468101951301e-01
1.400700350175087578e+03,-1.896395144020749379e-01
1.420710355177588781e+03,-1.897386041064153817e-01
1.440720360180089983e+03,-1.898499313201814920e-01
1.460730365182591186e+03,-1.899784259705508127e-01
1.480740370185092615e+03,-1.901334376611416577e-01
1.500750375187593818e+03,-1.903386311788959062e-01
1.520760380190094793e+03,-1.907366623417892926e-01
1.540770385192596223e+03,-1.914453229981160354e-01
1.560780390195097425e+03,-1.916703018143764425e-01
1.580790395197598855e+03,-1.918203357759497851e-01
1.600800400200100057e+03,-1.919728288596597443e-01
1.620810405202601487e+03,-1.921658371159263301e-01
1.640820410205102462e+03,-1.925420857156886212e-01
1.660830415207603664e+03,-1.932256768984721429e-01
1.680840420210105094e+03,-1.934390120791104339e-01
1.700850425212606297e+03,-1.935593275281218550e-01
1.720860430215107726e+03,-1.936563810439138056e-01
1.740870435217608701e+03,-1.937536125817332089e-01
1.760880440220109904e+03,-1.938615668423969984e-01
1.780890445222611334e+03,-1.939895506407297576e-01
1.800900450225112536e+03,-1.941547987084146776e-01
1.820910455227613966e+03,-1.944269771562281146e-01
1.840920460230114941e+03,-1.951665873819742048e-01
1.860930465232616370e+03,-1.954215025339514911e-01
1.880940470235117573e+03,-1.955291513051492513e-01
1.900950475237618775e+03,-1.956033081953169050e-01
1.920960480240120205e+03,-1.956693945328571438e-01
1.940970485242621180e+03,-1.957354383745418536e-01
1.960980490245122610e+03,-1.958046522424387037e-01
1.980990495247623812e+03,-1.958786524710685595e-01
2.001000500250125015e+03,-1.959584170619505517e-01
2.021010505252626444e+03,-1.960447247127459214e-01
2.041020510255127419e+03,-1.961385599640459165e-01
2.061030515257628849e+03,-1.962414694599964593e-01
2.081040520260130052e+03,-1.963557339570385640e-01
2.101050525262631254e+03,-1.964842292143020586e-01
2.121060530265132456e+03,-1.966304166956718558e-01
