0.000000000000000000e+00,1.945083660968088606e-06,3.950201318870124559e-06,5.991297523009091353e-06,8.209426237325207190e-06,1.049172824527043955e-05,1.305821466538617070e-05,1.570068366105312188e-05,1.871619212784326574e-05,2.179330433728880536e-05,2.530359435810096584e-05,2.882442731195529071e-05,3.279841255001103947e-05,3.668584218815150504e-05,4.099631699494760329e-05,4.507221817294480306e-05,4.948670254758907422e-05,5.347167172747034261e-05,5.766252317109346083e-05,6.119885627327913504e-05,6.477991707675794214e-05,6.748215107801906136e-05,7.007193930907455932e-05,7.159939612747300366e-05,7.289902360326518365e-05,7.303241491555135384e-05,7.289526348236377454e-05,7.159167880493953057e-05,7.005942566676649807e-05,6.746420769396223804e-05,6.475468342043707388e-05,6.116513350502740130e-05,5.761705073644075208e-05,5.341246311968309517e-05,4.940849833555908927e-05,4.497192295605702007e-05,4.086582837519952649e-05,3.652053797122110798e-05,3.258624643696498072e-05,2.855875790485483225e-05,2.496709636107796094e-05,2.137680855573114089e-05,1.819560926041587881e-05,1.506390689966216846e-05,1.227293338259896243e-05,9.542781089624502824e-06,7.055153930749701427e-06,4.613952861966971325e-06,2.298427532584922641e-06,0.000000000000000000e+00
1.945083660968088606e-06,2.793214140602415595e-06,4.455226422997253872e-06,6.446569321938125649e-06,8.554915085009730306e-06,1.093061332367351587e-05,1.339509820216679425e-05,1.620594817766208233e-05,1.909718755380982442e-05,2.240564816772774886e-05,2.576048347788072388e-05,2.957176952903078058e-05,3.335478452206928977e-05,3.758834642999315156e-05,4.166954854077609908e-05,4.614180560562161122e-05,5.028669286513088931e-05,5.470959608492533715e-05,5.858909068559021966e-05,6.259275627324441379e-05,6.582010355703395025e-05,6.900396040881870635e-05,7.119871002754158177e-05,7.320567912490647216e-05,7.407284438201986235e-05,7.466825864032608604e-05,7.406915516325636027e-05,7.319790120907824018e-05,7.118645418611439671e-05,6.898594197487961286e-05,6.579546450077081697e-05,6.255906136352090848e-05,5.854484997654403042e-05,5.465076144458934750e-05,5.021089110058887524e-05,4.604269492829548139e-05,4.154353564780758815e-05,3.742588769069621308e-05,3.315067210684768804e-05,2.931216062954803341e-05,2.543820245520529615e-05,2.200144320648269886e-05,1.860192210314077176e-05,1.559448769472246657e-05,1.265796887161514331e-05,1.004002639788686419e-05,7.512221683569643032e-06,5.255418534682887499e-06,3.265449534218938970e-06,2.298427532584922641e-06
3.950201318870124559e-06,4.455226422997253872e-06,5.811785199316099334e-06,7.567401355234810772e-06,9.699229560978682094e-06,1.198551092204013526e-05,1.463013197816718871e-05,1.738848713902391987e-05,2.056452974674264240e-05,2.382575569744448766e-05,2.755407180554356419e-05,3.131006928676327415e-05,3.554615615932277224e-05,3.970700460336484014e-05,4.431022477674488651e-05,4.868243752482163565e-05,5.340245937355056613e-05,5.768569607898365193e-05,6.217081384175965895e-05,6.598022383723855470e-05,6.981475499546621686e-05,7.273382487455252977e-05,7.550529614304342689e-05,7.716401423754679198e-05,7.854799774990539282e-05,7.870707499249145504e-05,7.854431175801572344e-05,7.715647381995532168e-05,7.549313484691953660e-05,7.271650534157509023e-05,6.979059308810374213e-05,6.594821578600217114e-05,6.212804560866888571e-05,5.763053270500023066e-05,5.333027011425685489e-05,4.859072985742947859e-05,4.419198917916550301e-05,3.955863878953244254e-05,3.535749173295832116e-05,3.107624810862090004e-05,2.726111664944915226e-05,2.346796090450211698e-05,2.012449151258777384e-05,1.686226477434999297e-05,1.400191524974970408e-05,1.126545895000752115e-05,8.901563940576660548e-06,6.785129185405004507e-06,5.262904512284087544e-06,4.622129552740138044e-06
5.991297523009091353e-06,6.446569321938125649e-06,7.567401355234809925e-06,9.295913634434917032e-06,1.132291658431376097e-05,1.378152166834183236e-05,1.641451554253012656e-05,1.949196965991816598e-05,2.270249305179542683e-05,2.640434055887822042e-05,3.019222697897544884e-05,3.449769580504164098e-05,3.880492922878386782e-05,4.361117371770852568e-05,4.828262503719028180e-05,5.337651403622565904e-05,5.814209119754083852e-05,6.319320005013061162e-05,6.767413072098562047e-05,7.225608581417884983e-05,7.600329487352551017e-05,7.964977408529485560e-05,8.221640602076140520e-05,8.450749348421069849e-05,8.554324049126757002e-05,8.620116421562170196e-05,8.553968822474262588e-05,8.450005488091772961e-05,8.220480482916211096e-05,7.963295007512238778e-05,7.598065297212685002e-05,7.222566217534052762e-05,6.763492606151369729e-05,6.314204305414351543e-05,5.807745582935689880e-05,5.329359415669953438e-05,4.817923968483881739e-05,4.348038407102313075e-05,3.864388392413568450e-05,3.429697989512024399e-05,2.994881607472805611e-05,2.610694343244397727e-05,2.235028048927917356e-05,1.907607277491206465e-05,1.594550838767807961e-05,1.327144504780229027e-05,1.082981920364035727e-05,8.925769642289036379e-06,7.544055505544572904e-06,7.088146287340581609e-06
8.209426237325207190e-06,8.554915085009728612e-06,9.699229560978680400e-06,1.132291658431376097e-05,1.351600548596206103e-05,1.598058705481089745e-05,1.895159342620133172e-05,2.211853373015448465e-05,2.581982131359871616e-05,2.967188818091324418e-05,3.409145244239506856e-05,3.859370823349822310e-05,4.366212886731859338e-05,4.869675627509324571e-05,5.423976085182165063e-05,5.957103394196871810e-05,6.528543633442713580e-05,7.054794929057227066e-05,7.600414611081498823e-05,8.072259388052871552e-05,8.540395115961764330e-05,8.905353861593707804e-05,9.243758599966240565e-05,9.454271552433318748e-05,9.621203584206005288e-05,9.645991542986515044e-05,9.620854302401811030e-05,9.453563669466933338e-05,9.242634655259320767e-05,8.903785060278927572e-05,8.538259044515711241e-05,8.069505273299341312e-05,7.596839831842574348e-05,7.050322919491051313e-05,6.522868863508556622e-05,5.950120518471845737e-05,5.415250334859527970e-05,4.859079202709669289e-05,4.353168234939575043e-05,3.843772476258202627e-05,3.390329313903438539e-05,2.945250842230138271e-05,2.556485415504867692e-05,2.183718209048522192e-05,1.865352369644691130e-05,1.570400810716069209e-05,1.332319491270283061e-05,1.134038744386909833e-05,1.012222988563362483e-05,9.625746040059944680e-06
1.049172824527043955e-05,1.093061332367351417e-05,1.198551092204013526e-05,1.378152166834183236e-05,1.598058705481089745e-05,1.878922431312791640e-05,2.187745064540058112e-05,2.556634947448591571e-05,2.948054247847904392e-05,3.402736363105092742e-05,3.874444335639855752e-05,4.410841303702170435e-05,4.954780332806108672e-05,5.559735055908184768e-05,6.156498176099984361e-05,6.803423488691365002e-05,7.419045539897421997e-05,8.065994300017846066e-05,8.651615186753819472e-05,9.242908973292252766e-05,9.738747746547048916e-05,1.021158644642040171e-04,1.055623373040731578e-04,1.085246488075463235e-04,1.099642367493911617e-04,1.107685124826189577e-04,1.099609185402100365e-04,1.085177908797935718e-04,1.055518547079650001e-04,1.021010788549082298e-04,9.736822995579886230e-05,9.240420310881307137e-05,8.648541649128407046e-05,8.062161485044723442e-05,7.414432078121624664e-05,6.797791279050818011e-05,6.149837672362373146e-05,5.551747768417547634e-05,4.945507222266883800e-05,4.399974693516461535e-05,3.862203057683471504e-05,3.389023783223512319e-05,2.933677757624183387e-05,2.542465738179205389e-05,2.176447201444281450e-05,1.874629381126175783e-05,1.608747478729707377e-05,1.416467678268360465e-05,1.282536378576536148e-05,1.244097490865317168e-05
1.305821466538616901e-05,1.339509820216679256e-05,1.463013197816718871e-05,1.641451554253012656e-05,1.895159342620132833e-05,2.187745064540058112e-05,2.549823865256178540e-05,2.943203983767429582e-05,3.408063150935510259e-05,3.899514211542678938e-05,4.465163444335783167e-05,5.050226888573934944e-05,5.708230120215712855e-05,6.372615808398727230e-05,7.101517130019104269e-05,7.815645047350694137e-05,8.576612396091041644e-05,9.292556107257168580e-05,1.002804955396916327e-04,1.068046692811340428e-04,1.131804100702396299e-04,1.183134272424728899e-04,1.229450520559001816e-04,1.259723990476389194e-04,1.282272830150050309e-04,1.286632044995517034e-04,1.282240760353011539e-04,1.259659992599271002e-04,1.229351602402299268e-04,1.183001058871172733e-04,1.131630836917098265e-04,1.067835083949413499e-04,1.002546956117440611e-04,9.289550398608392918e-05,8.573086068819604148e-05,7.811674860136795615e-05,7.097012140667795753e-05,6.367727089152360246e-05,5.702922113685046835e-05,5.044817550419071131e-05,4.459832806210731475e-05,3.895017614627046003e-05,3.405293467508508298e-05,2.944152597789948778e-05,2.557542585273963270e-05,2.207624229436626210e-05,1.935912767446286209e-05,1.715938743821592897e-05,1.589320012168608023e-05,1.536072246835329229e-05
1.570068366105312188e-05,1.620594817766208572e-05,1.738848713902391987e-05,1.949196965991816598e-05,2.211853373015448465e-05,2.556634947448591571e-05,2.943203983767429582e-05,3.411375323617837625e-05,3.916598493975482538e-05,4.506891694372146192e-05,5.129339850702570303e-05,5.838255694172791581e-05,6.569661885753665695e-05,7.382451261000178553e-05,8.199842142585896858e-05,9.083595134884125109e-05,9.943285148538413343e-05,1.084216949947584233e-04,1.167677823705314671e-04,1.251165891974487102e-04,1.323322121020993451e-04,1.390922195889159009e-04,1.442184714789609284e-04,1.484634131338736737e-04,1.506882722072626758e-04,1.517702259374333865e-04,1.506852924209657629e-04,1.484573831650698277e-04,1.442095590551116264e-04,1.390802519553953256e-04,1.323175940721669618e-04,1.250991614337737274e-04,1.167483252127259855e-04,1.084002619660537949e-04,9.941081718681695205e-05,9.081389940263049645e-05,8.197868049989838143e-05,7.380876566952818216e-05,6.568887670263422109e-05,5.838688067491737052e-05,5.131731715030654937e-05,4.512227010595409562e-05,3.926494493247561818e-05,3.428334045035097237e-05,2.971097563481273079e-05,2.601843324370249375e-05,2.283554777496990188e-05,2.061572144764364532e-05,1.908644596610688455e-05,1.867772730439976129e-05
1.871619212784326574e-05,1.909718755380982442e-05,2.056452974674264240e-05,2.270249305179542683e-05,2.581982131359871616e-05,2.948054247847904053e-05,3.408063150935511615e-05,3.916598493975482538e-05,4.522337303800080252e-05,5.173621185194000345e-05,5.926130409531532892e-05,6.718388736712041357e-05,7.610988664913200300e-05,8.530106595943172550e-05,9.538977772907033105e-05,1.054959369965066619e-04,1.162549108084206162e-04,1.266364598827387274e-04,1.372629719893309020e-04,1.469663603918398267e-04,1.563622561610858105e-04,1.641926666914750191e-04,1.711097646216028407e-04,1.758567703751944141e-04,1.791997869423541930e-04,1.799960220808951119e-04,1.791970071916306449e-04,1.758513652410402734e-04,1.711017956671585436e-04,1.641826468800075078e-04,1.563504424776941660e-04,1.469537727464185442e-04,1.372503329573975493e-04,1.266255454133174030e-04,1.162473329205067959e-04,1.054946068725984152e-04,9.539784908415798576e-05,8.532322202128671393e-05,7.615197011635906738e-05,6.725368728951889100e-05,5.936984930574799017e-05,5.189777431132590801e-05,4.546046835033621037e-05,3.950839046932017533e-05,3.457825328971117230e-05,3.020025241410351325e-05,2.687117088821404498e-05,2.422120809004599536e-05,2.274108279205791259e-05,2.210797289986885588e-05
2.179330433728880536e-05,2.240564816772774886e-05,2.382575569744448766e-05,2.640434055887822042e-05,2.967188818091323740e-05,3.402736363105092742e-05,3.899514211542680293e-05,4.506891694372148224e-05,5.173621185194000345e-05,5.957092924099677245e-05,6.798108761454137996e-05,7.759735193213330670e-05,8.771530673159599716e-05,9.899533202350449838e-05,1.105932206199062309e-04,1.231666487624903097e-04,1.357088187063351301e-04,1.488420741326199873e-04,1.613872425058981530e-04,1.739145760199642323e-04,1.850959140358293133e-04,1.954751957081030383e-04,2.036578446795888524e-04,2.102516874573739621e-04,2.139418420467033234e-04,2.155325573945567486e-04,2.139393935428410688e-04,2.102469206080471846e-04,2.036512575255781249e-04,1.954672753626859720e-04,1.850877857131341881e-04,1.739073744981600223e-04,1.613829775829645375e-04,1.488430213414044308e-04,1.357182705294804944e-04,1.231887573184406383e-04,1.106331682888960389e-04,9.906027679739399616e-05,8.781339020415394891e-05,7.774076310926726196e-05,6.818327035192343238e-05,5.985353893713383686e-05,5.212391726908469211e-05,4.560360524711946890e-05,3.972745559284412531e-05,3.504344110638239431e-05,3.107679271540744769e-05,2.836145270074606260e-05,2.650806136696351033e-05,2.602792297988057704e-05
