# time, f
0.000000000000000000e+00,-1.365722634039226169e-01
2.001000500250125214e+01,-1.399421338383228797e-01
4.002001000500250427e+01,-1.424717785803400749e-01
6.003001500750375641e+01,-1.445566167781173472e-01
8.004002001000500854e+01,-1.464587486772631897e-01
1.000500250125062536e+02,-1.485448017717069802e-01
1.200600300150075128e+02,-1.504726943396830496e-01
1.400700350175087578e+02,-1.522166798315788827e-01
1.600800400200100171e+02,-1.538009012967793410e-01
1.800900450225112479e+02,-1.552608283330889627e-01
2.001000500250125071e+02,-1.566236492718404982e-01
2.201100550275137380e+02,-1.579051497127276493e-01
2.401200600300150256e+02,-1.591165031877299907e-01
2.601300650325162565e+02,-1.602706509978407690e-01
2.801400700350175157e+02,-1.613670084185706288e-01
3.001500750375187749e+02,-1.624206864008053974e-01
3.201600800400200342e+02,-1.634252261989972699e-01
3.401700850425212366e+02,-1.643770523193340549e-01
3.601800900450224958e+02,-1.652812744059029282e-01
3.801900950475236982e+02,-1.661342455907555693e-01
4.002001000500250143e+02,-1.669407438872970995e-01
4.202101050525262735e+02,-1.677004684424293068e-01
4.402201100550274759e+02,-1.684116431339279518e-01
4.602301150575287352e+02,-1.690829687360342892e-01
4.802401200600300513e+02,-1.697219648844280615e-01
5.002501250625312537e+02,-1.703270128583346255e-01
5.202601300650325129e+02,-1.709062171982679013e-01
5.402701350675338290e+02,-1.714619076989650770e-01
5.602801400700350314e+02,-1.719962571998121803e-01
5.802901450725362338e+02,-1.725140017709878848e-01
6.003001500750375499e+02,-1.730173909856990710e-01
6.203101550775387523e+02,-1.735080481055350510e-01
6.403201600800400684e+02,-1.739887250870180979e-01
6.603301650825412707e+02,-1.744604279496458632e-01
6.803401700850424731e+02,-1.749226238531893518e-01
7.003501750875437892e+02,-1.753755950379813355e-01
7.203601800900449916e+02,-1.758208367259631588e-01
7.403701850925463077e+02,-1.762612909733688171e-01
7.603801900950473964e+02,-1.767001936917038940e-01
7.803901950975487125e+02,-1.771353580265276340e-01
8.004002001000500286e+02,-1.775633316756475011e-01
8.204102051025512310e+02,-1.779852233364917213e-01
8.404202101050525471e+02,-1.784013967415487567e-01
8.604302151075538632e+02,-1.788130735959947704e-01
8.804402201100549519e+02,-1.792239839907170673e-01
9.004502251125562680e+02,-1.796312474404236637e-01
9.204602301150574704e+02,-1.800327330606785736e-01
9.404702351175587864e+02,-1.804290777797586121e-01
9.604802401200601025e+02,-1.808172402854174299e-01
9.804902451225613049e+02,-1.811997789344741150e-01
1.000500250125062507e+03,-1.815758090066101060e-01
1.020510255127563710e+03,-1.819412339299090464e-01
1.040520260130065026e+03,-1.822976730414229141e-01
1.060530265132566228e+03,-1.826448974885094556e-01
1.080540270135067658e+03,-1.829825219143986492e-01
1.100550275137568860e+03,-1.833110433773360859e-01
1.120560280140070063e+03,-1.836290318486205608e-01
1.140570285142571265e+03,-1.839371743935469539e-01
1.160580290145072468e+03,-1.842367684900781954e-01
1.180590295147573897e+03,-1.845260491325529939e-01
1.200600300150075100e+03,-1.848052295439478188e-01
1.220610305152576302e+03,-1.850767624732863603e-01
1.240620310155077505e+03,-1.853404649457801312e-01
1.260630315157578707e+03,-1.855952065827369823e-01
1.280640320160080137e+03,-1.858423292840320484e-01
1.300650325162581339e+03,-1.860839019235571157e-01
1.320660330165082541e+03,-1.863202793333958718e-01
1.340670335167583971e+03,-1.865508437997878410e-01
1.360680340170084946e+03,-1.867748096551713755e-01
1.380690345172586376e+03,-1.869923758691376947e-01
1.400700350175087578e+03,-1.872047812990424165e-01
1.420710355177588781e+03,-1.874131346152390631e-01
1.440720360180089983e+03,-1.876178046334704419e-01
1.460730365182591186e+03,-1.878181929021890129e-01
1.480740370185092615e+03,-1.880135518699059538e-01
1.500750375187593818e+03,-1.882042658717992256e-01
1.520760380190094793e+03,-1.883915289601628407e-01
1.540770385192596223e+03,-1.885764067655148757e-01
1.560780390195097425e+03,-1.887591791873698965e-01
1.580790395197598855e+03,-1.889391868042101241e-01
1.600800400200100057e+03,-1.891155879740398782e-01
1.620810405202601487e+03,-1.892883753725292106e-01
1.640820410205102462e+03,-1.894583388625053766e-01
1.660830415207603664e+03,-1.896263002338287040e-01
1.680840420210105094e+03,-1.897924821256081473e-01
1.700850425212606297e+03,-1.899564808938822291e-01
1.720860430215107726e+03,-1.901177670910267903e-01
1.740870435217608701e+03,-1.902763081074126672e-01
1.760880440220109904e+03,-1.904325864082988540e-01
1.780890445222611334e+03,-1.905872083647845161e-01
1.800900450225112536e+03,-1.907405030305183158e-01
1.820910455227613966e+03,-1.908924349740107607e-01
1.840920460230114941e+03,-1.910428787085213242e-01
1.860930465232616370e+03,-1.911919442815806780e-01
1.880940470235117573e+03,-1.913399748254791810e-01
1.900950475237618775e+03,-1.914872635749979568e-01
1.920960480240120205e+03,-1.916337204489889368e-01
1.940970485242621180e+03,-1.917788141655049905e-01
1.960980490245122610e+03,-1.919219374252417731e-01
1.980990495247623812e+03,-1.920629014286576453e-01
2.001000500250125015e+03,-1.922021441163368205e-01
2.021010505252626444e+03,-1.923404912299548075e-01
2.041020510255127419e+03,-1.924786863619112054e-01
2.061030515257628849e+03,-1.926168768774201845e-01
2.081040520260130052e+03,-1.927544824530308676e-01
2.101050525262631254e+03,-1.928907368559422408e-01
2.121060530265132456e+03,-1.930253763462582706e-01
2.141070535267633659e+03,-1.931587677410999682e-01
2.161080540270135316e+03,-1.932915782868220300e-01
2.181090545272636064e+03,-1.934243325152309456e-01
2.201100550275137721e+03,-1.935570421926960660e-01
2.221110555277638923e+03,-1.936892426647118526e-01
2.241120560280140126e+03,-1.938204379964214019e-01
2.261130565282641328e+03,-1.939504667668621729e-01
2.281140570285142530e+03,-1.940795389571249585e-01
2.301150575287643733e+03,-1.942080831545071606e-01
2.321160580290144935e+03,-1.943364507005340136e-01
2.341170585292646138e+03,-1.944646303628949358e-01
2.361180590295147795e+03,-1.945923284103023565e-01
2.381190595297648542e+03,-1.947193484043464595e-01
2.401200600300150199e+03,-1.948458216690318323e-01
2.421210605302651402e+03,-1.949720788824274853e-01
2.441220610305152604e+03,-1.950984044315023647e-01
2.461230615307653807e+03,-1.952248528813465278e-01
2.481240620310155009e+03,-1.953511492288190765e-01
2.501250625312656211e+03,-1.954768122683895049e-01
2.521260630315157414e+03,-1.956014779316210817e-01
2.541270635317659071e+03,-1.957251742652124371e-01
2.561280640320160273e+03,-1.958483165299984563e-01
2.581290645322661021e+03,-1.959714594205952676e-01
2.601300650325162678e+03,-1.960949371978273625e-01
