# Distance, Potential
0.000000000000000000e+00,8.475865970328737179e-08,8.475865970328737179e-08
1.000000000000000000e+00,1.049109533093730007e-01,1.049109533093730007e-01
2.000000000000000000e+00,2.923994831732846383e-02,2.923994831732846383e-02
3.000000000000000000e+00,1.127090720155136776e-02,1.127090720155136776e-02
4.000000000000000000e+00,5.683569170823890918e-03,5.683569170823890918e-03
5.000000000000000000e+00,3.414685466096850988e-03,3.414685466096850988e-03
6.000000000000000000e+00,2.279844471502191511e-03,2.279844471502191511e-03
7.000000000000000000e+00,1.624967165993916477e-03,1.624967165993916477e-03
8.000000000000000000e+00,1.209897517981419835e-03,1.209897517981419835e-03
9.000000000000000000e+00,9.283529132584574829e-04,9.283529132584574829e-04
1.000000000000000000e+01,7.286434243227894259e-04,7.286434243227894259e-04
1.100000000000000000e+01,5.810831627170640317e-04,5.810831627170640317e-04
1.200000000000000000e+01,4.697507935794249453e-04,4.697507935794249453e-04
1.300000000000000000e+01,3.831690864981890810e-04,3.831690864981890810e-04
1.400000000000000000e+01,3.155888665961718311e-04,3.155888665961718311e-04
1.500000000000000000e+01,2.614101530538839716e-04,2.614101530538839716e-04
1.600000000000000000e+01,2.185495413668600161e-04,2.185495413668600161e-04
1.700000000000000000e+01,1.837201889691762269e-04,1.837201889691762269e-04
1.800000000000000000e+01,1.563821806733204831e-04,1.563821806733204831e-04
1.900000000000000000e+01,1.343115815731676574e-04,1.343115815731676574e-04
2.000000000000000000e+01,1.177019717902808856e-04,1.177019717902808856e-04
2.100000000000000000e+01,1.048919469480772662e-04,1.048919469480772662e-04
2.200000000000000000e+01,9.647196189495960345e-05,9.647196189495960345e-05
2.300000000000000000e+01,9.112419788725680979e-05,9.112419788725680979e-05
2.400000000000000000e+01,8.969847229101271622e-05,8.969847229101271622e-05
